Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Bb_1800x1800_d0aa3ba2-de20-4dc9-9ccb-5e28f412fd44.jpg?v=1738326052,3,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1267 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3B_1800x1800_fdfa2088-3ad2-4d65-a4d2-8245b1077db7.jpg?v=1738326052,4,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1267 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851-a,Rare 3Pc Lawn Embroidered Shirt With Diamond Print Dupatta-1266-A,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lawn Embroidered Shirt</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lawn Embroidered Sleevs</span></li>
<li data-mce-fragment=""1"">Diamond Print<span data-mce-fragment=""1""> </span>Dupatta</li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered</span><span> </span>Back </li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered </span>Trouser</li>
</ul>
<!----> This rare 3pc lawn embroidered shirt with diamond print dupatta-1266-a is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Uncategorized,cloth,"3PC, Brandsinn Design, Designer Picks, DIAMOND, DUPATTA-1266-A, EMBROIDERED, LAWN, Organza, PRINT, RARE, SHIRT, WITH",true,Title,Default Title,,,,,,,,,0.0,,-4,deny,manual,4199.00,11000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9B_1800x1800_d797c4fd-cfa6-42b1-8c48-4c8307da0cf0.jpg?v=1738326053,1,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan.,false,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan,"Discover the latest RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A for every occasion. Stylish, premium-quality Pakistani outfits available now!",,,,,,,,,,,,,,kg,,,true,,,true,,,active
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Bb_1800x1800_eb98f29f-ed67-45e8-9a0e-b57d12c30685.jpg?v=1738326053,2,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Bd_1800x1800_400b24ac-2efb-4f94-976a-a64f97eb54ef.jpg?v=1738326053,3,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Bc_1800x1800_3a06cb03-2dae-4440-8c13-5698a00b4aeb.jpg?v=1738326053,4,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2851-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/ZAIRA-9Ba_1800x1800_b85b8667-c126-41f7-bc44-7b35c57179af.jpg?v=1738326054,5,RARE 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1266-A Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2853,Rare- 3Pc Lawn Embroidered Shirt With Diamond Print Dupatta-1268,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lawn Embroidered Shirt</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lawn Embroidered Sleevs</span></li>
<li data-mce-fragment=""1"">Diamond Print<span data-mce-fragment=""1""> </span>Dupatta</li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered</span><span> </span>Back </li>
<li data-mce-fragment=""1"">Lawn<span> </span><span data-mce-fragment=""1"">Embroidered </span>Trouser</li>
</ul>
<!----> This rare- 3pc lawn embroidered shirt with diamond print dupatta-1268 is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Uncategorized,cloth,"3PC, Brandsinn Design, DIAMOND, DUPATTA-1268, EMBROIDERED, LAWN, Lawn Luxe 2025, Organza, PRINT, RARE-, SHIRT, WITH",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,4199.00,14000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3A_1800x1800_3bcf01ae-4686-42f3-9f06-ee9149cd0f7b.jpg?v=1738326055,1,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan.,false,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan,"Discover the latest RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 for every occasion. Stylish, premium-quality Pakistani outfits available now!",,,,,,,,,,,,,,kg,,,true,,,true,,,active
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Aa_1800x1800_d5e2e759-3b96-4bd1-8630-3cac87ac39be.jpg?v=1738326055,2,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Ab_1800x1800_9408f16f-aab3-4c83-9fa7-06144a3e977e.jpg?v=1738326055,3,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Ad_1800x1800_a0f5fd52-adfd-4adc-91df-6b331e0b3970.jpg?v=1738326055,4,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
zahra-shahjahan-3pc-lawn-embroidered-shirt-with-diamond-print-dupatta-bic-2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/MIREA-3Ac_1800x1800_5264bc9a-76a6-491a-856d-e01953e7c3a0.jpg?v=1738326055,5,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA-1268 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-organza-heavy-embroidered-shirt-with-organza-embroidered-dupatta-and-lawn-inner-bic-red,Rare- Organza Heavy Embroidered Shirt With Organza Embroidered Dupatta And Lawn Inner -Rare-1206-Red,"<div class=""product__description rte quick-add-hidden"">
<p>Organza Embroidered Shirt With Lawn Inner  </p>
<p>Organza Embroidered Sleeves</p>
<p>Organza Embroidered Dupatta</p>
<p> Lawn Inner Back</p>
<p>Organza  Trouser lawn</p>
</div>
<!----> This rare- organza heavy embroidered shirt with organza embroidered dupatta and lawn inner -rare-1206-red is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Apparel & Accessories > Clothing,cloth,"'-RARE-1206-RED, AND, DUPATTA, EMBROIDERED, HEAVY, INNER, LAWN, Lawn Luxe 2025, Organza, RARE-, Seasonal Favorites, SHIRT, WITH",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,3999.00,10000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/GR.jpg?v=1738326056,1,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED Price in Pakistan.,false,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED Price in Pakistan,"Discover the latest RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED for every occasion. Stylish, premium-quality Pakistani outfits available now!",1604,,,,,,,,,,,,,kg,,,true,,,true,,,active
azure-organza-heavy-embroidered-shirt-with-organza-embroidered-dupatta-and-lawn-inner-bic-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/JSDFGSK.jpg?v=1738326056,2,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-organza-heavy-embroidered-shirt-with-organza-embroidered-dupatta-and-lawn-inner-bic-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/WhatsAppImage2024-05-27at3.36.10PM.jpg?v=1738326056,3,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-organza-heavy-embroidered-shirt-with-organza-embroidered-dupatta-and-lawn-inner-bic-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/WhatsAppImage2024-05-27at3.36.09PM_1.jpg?v=1738326057,4,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1206-RED Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
azure-organza-heavy-embroidered-shirt-with-organza-embroidered-dupatta-and-lawn-inner-bic,Rare- Organza Heavy Embroidered Shirt With Organza Embroidered Dupatta And Lawn Inner -Rare-1205,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lawn Embroidered Shirt</li>
<li data-mce-fragment=""1"">Lawn Embroidered Sleeves</li>
<li data-mce-fragment=""1"">Bamber Chiffon <span data-mce-fragment=""1"">Embroidered</span><span> </span>Dupatta </li>
<li data-mce-fragment=""1"">Lawn Trouser</li>
<li data-mce-fragment=""1"">Unstitched 3PC Dress</li>
</ul>
<!----> This rare- organza heavy embroidered shirt with organza embroidered dupatta and lawn inner -rare-1205 is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Apparel & Accessories > Clothing,cloth,"'-RARE-1205, AND, DUPATTA, EMBROIDERED, HEAVY, INNER, LAWN, Lawn Luxe 2025, ORGANZA, RARE-, Seasonal Favorites, SHIRT, Summer New Arrival, WITH",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,3999.00,11000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/SAJCGYISDC.jpg?v=1738326058,1,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1205 Price in Pakistan.,false,RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1205 Price in Pakistan,"Discover the latest RARE- ORGANZA HEAVY EMBROIDERED SHIRT WITH ORGANZA EMBROIDERED DUPATTA AND LAWN INNER -RARE-1205 for every occasion. Stylish, premium-quality Pakistani outfits available now!",1604,,,,,,,,,,,,,kg,,,true,,,true,,,active
sapphire-3pc-lawn-embroidered-with-bamber-chiffon-embroidered-dupatta-rare-2700,Rare- 3Pc Lawn Embroidered Shirt With Diamond Print Dupatta And Embroidered Trouser-1251,"<div class=""product__description rte quick-add-hidden"">
<p>Organza Embroidered Shirt With Lawn Inner  </p>
<p>Organza Embroidered Sleeves</p>
<p>Organza Embroidered Dupatta</p>
<p>Lawn Inner Back</p>
<p>Organza  Trouser lawn</p>
</div>
<!----> This rare- 3pc lawn embroidered shirt with diamond print dupatta and embroidered trouser-1251 is a timeless addition to your wardrobe. It features exquisite embroidery and high-quality fabrics, perfect for both casual and formal wear.",RARE STORE,Uncategorized,cloth,"3PC, AND, Bridal & Beyond, DIAMOND, DUPATTA, EMBROIDERED, LAWN, Organza, PRINT, RARE-, Seasonal Favorites, SHIRT, TROUSER-1251, WITH",true,Title,Default Title,,,,,,,,,0.0,,-9,deny,manual,3699.00,13000.00,true,false,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/3_2.jpg?v=1738326059,1,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA AND EMBROIDERED TROUSER-1251 Price in Pakistan.,false,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA AND EMBROIDERED TROUSER-1251 Price in Pakistan,"Discover the latest RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA AND EMBROIDERED TROUSER-1251 for every occasion. Stylish, premium-quality Pakistani outfits available now!",,,,,,,,,,,,,,kg,,,true,,,true,,,active
sapphire-3pc-lawn-embroidered-with-bamber-chiffon-embroidered-dupatta-rare-2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/2_1.jpg?v=1738326059,2,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA AND EMBROIDERED TROUSER-1251 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
sapphire-3pc-lawn-embroidered-with-bamber-chiffon-embroidered-dupatta-rare-2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0898/2898/3148/files/1_1.jpg?v=1738326059,3,RARE- 3PC LAWN EMBROIDERED SHIRT WITH DIAMOND PRINT DUPATTA AND EMBROIDERED TROUSER-1251 Price in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,
